,adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
10928,matematicas,voluntad,espina,Blanco y negro,un poco bruto,seguir,acompañamiento,Tercera edad,sabiduria,Partes de un todo,solucionar un problema,conjunto,No tener miedo,noche,matematica,organizacion ,cuidadoso,hamburguesa,estudioso,region de czech lands ,sangre,largo,barra,religion ,marino,Caparazón ,sucio,pollo,ave,demonios,Rotación de cultivos,hechas con aguja e hilo,comida gratis,engendradora,sonrisa,falso,producto de la atención,sabor dulce,sentimientos,que es bonito,idea,sentidos,malestar,remolino,piedra,posicion economica,ocultar,Toman tiempo ,hacer algo malo,peludos,riqueza,exaltación,Unidad territorial,fuego,Granito de Cafe,Leña Quemada,sentimientos,mago de oz,evidencia de algo que ocurrió,relatividad,manipulacion,Recompensa,Detectives ,efímero,visible,posicionar,Bioma,abrir los ojos,llanto,pena,de un niño,tiene distintos niveles,intencion,Restricción,Se enrrojece,hermoso,explosión,Conducta,organización politica,arte,ascético ,clima,calidad ,son adultos,Real,balanza,Cuento de disney,Arquitectura ,campo,policia,puede usarse para amenzar,Satelite,poblacion ,aviso,clases,sirve para la hora,alegar,espejo,opción de arrepentirse,utlizado,camioneta,llamar la atención,movimiento leve en las placas tectónicas,dinero,Pulcro,origen,solicitud,solido,amistoso,soplar con tranquilidad,no es una enfermedad,poco habiloso,premio,tema administrativo,adecuado,noche,arrogante,Feliz,mala actitud,relación
10929,algo mas grande,tolerar,pua,Mentalidad,técnico ,perseguir,consejo,Experiencia,aprendizaje,Específicas,estructura,vestido,valiente,maullar,equilibrio,Ondenate,Bigotes/Barba,engordar,estudia la vida,un estilo de vida,tristeza,algodón ,bancos,Religión,Autoridad,Baboso,refugio,contundente,patas largas,maldicion,Siembra,oficio de costureras,conocer,recipiente,compartir,engaño,selección de estímulo muy minucioso,amabilidad,positivos o negativos,que es amable,meta,comididad,impresión,escaleras infinitas,madera ,posicion social,huir,Necesitan ser evidentes ,es subjetiva,tiernos,la gente mata por ella,susto,Región del espacio,cuidado,Granito de Oro,Prehistoria ,secrecion,wicked,síntoma de enfermedad,acciones,cambio de postura,Buena labor,duda,triste,ayuda,poner encima de,Extensa,despierto,gota,empatía,de una novia,nos hace mirar la vida de forma diferente,falso,Limitar,Las emociones como la verguenza provocan que se pongan rojas,espernza,destrucción,Expresiones,poder concentrado,teatro,relacionado con el  misticismo,bosque,procesamiento ,en general es se eligen en par los padrinos,Europeo,tijera,Cocodrilos,Atractivo turístico ,vacaciones,analisis,sus balas matan,Objeto astronómico,lugar de residencia de muchos ,noticia,profesor,sonido fuerte,queja,rapido,regreso a casa,otros,metal,enfadar,copia casi exacta de algo,mensualidad,Cuidado propio,cultivo,grave,firme,conversador,se puede suspirar por un sueño incumplido,Miedo,descuidado,salvador,alguien solicita y otro lo realiza,propio de un concepto,murcielago,apariencias,Reflexionar,podrido,unión
10930,juntar,resistencia,pincho,Estrategia,torpe,lograr tomar algo,inspiracion,Menopausia,metodologias,Temáticas,flores,saco,alguien con agallas,ruido,medicion,Está en un asta,Afeitar,vientre,salud,preferencia por la cultura,asco,ropa,musica,Sacerdote,Respeto,Animal,alegoria ,comida tipica chilena,pico largo,diablo,Florecer,usada en hechura de ropas,vacaciones,se puede sacar con las uñas,felicidad,daño,relieve,suavidad,positivos o negativos,carisma,compañia,sentido,reacción negativa,borde de los cuadernos,puede estar hecha de dicersos materiales ,clasista,hacer quite,Difíciles ,hace daño decirlo,gatos de muchos tamaños,la gente se vuelve egosita por ella,gritar,Estrella central,peligroso,pequeño,Supervivencia,celula,fuerza,aviso,Movimiento ,cotrolador,ingresar a un evento ,pregunta,arrepentimiento,cartel,agarrar,Animales,alerta,liquido que sale de los ojos,tristeza,Religión,se adquiere con el tiempo,matar,orden ,sirve como prueba para ver si alguien está enfermo,fe,Cuba,Costumbre,monopolista,arte,misterioso,miedo,conexion,segundos padres,De piedra,alicate,Bosque húmedo ,Cúpula,gran terreno,información,dispara,Cuerpo semi circular,es parte de un pais ,Principio,cuadernos,Reloj,disconforme,abilidad,volver,petroleo,plastico,alboroto,los cuadros famosos tienen millones,invertir,Auto preocupación,comienzo de una nueva vida,auxilio,estado fisico,que se desenvuelve bien,expresa algo más profundo que el acto físico,Baja autoestima,indiciplinado,dictador,tedioso,asegurar,castillo,soberbia,aventura,aderezo ,pareja
10931,Numeros ,apañe,aguja,Pensamiento,fuerte,distancia,oloroso,Infertilidad,capacidad,Perspectivas,datos,traje,alguien sin miedo a lo que pueda ocurrir,sonido molesto del gato,comparacion,Representa un grupo,Confianza,protuberancia,celulas,alguien impulsivo,mal olor,pijama,historias,Comunidad,Amigo,Insecto,esperanza,tiene pollo,grande,maldad,Crecimiento,arreglo o ajuste de ropas,caribe,se puede sacar con un cuchillo,colores,atrevido,acercamiento,placer,reacciones a situaciones,atractivo,coorporacion,ambiente,se nota en la cara,es un lindo diseño,escultor ,puede ser fingido,saltar,caras,no es bonito,dientes grandes y puntiagudos,es algo que sirve ,lujuria ,Vía Láctea,pistola,diminuto,calor,glandul,Miedo ,vestigio,Newton ,alterar forma de actuar,relacionado con el salario de un individuo,incierto,inútil si es muy extenso,informacion,elevar algo,plano,atento,transparente,no estar de acuerdo con un resultado,Guía,se basa en experiencias de la vida,daño,la da un capitan ,lugar que comúnmente se piñizca ,raro de ver,Rusia,Cortesia,una persona,politica,relacionado con lo oculto,nubes bajas,bueno,es como un papá,Con torres,tenaza,Múltiple vegetación ,Cúpula abierta,campo,conclusión,"hay pistolas de clavos, silicona, etc",existen muchos planetas ,tiene un idioma en comun ,Base,solo,Tiempo,molestia,arqueros,retorno ,agua,alambre,revuelta,es ilegal hacer esto con las firmas,trabajo,locura,plantas,persona pidiendo ayuda,rigido,practica,conlleva emoción,Inseguridad,inepto,gobernante,proceso,acertado,transformación,opiniones,open minded,ensalada,familia
10932,Suma de elementos ,compromiso,filoso,Entretención,Constructor,aproximación,comida,Afabilidad,inteligencia,geometría,orden,terno ,Persona con valentia,sonidos de animal,herramienta,Representa un país,Descanzo,parte media,moleculas,alguien que vive en su mente,descomposicion,dormir,seducir,Ayuda,Encargado,Antenas,rocas,papa ,blanco,oscuridad ,Esperanza,debe ser pulcra,calido,naranja,olores,robo,especificación,melosidad,reacciones a sucesos,fascinación,volumen,alrededor,susto,al mirarlas un buen rato marea,representa algo,puede ser actuado,esconder,aristas,no es agradable de vista,dientes grandes y puntiagudos,comprar,estasis,gran distancia entre galaxias,disparo,unidad,acogedor,efecto,Causa terror,prueba,Leyes ,pensamiento,lo genera el trabajo,no hay conocimiento,pena,señalizacion,accion,llano,está claro,dolor,perder algo,Responsabilidad,un niño no la tiene,herir,se tiene que cumplir ,es la parte mas carnosa de la cara,excepcional,Estados Unidos,Componente cultural,rey,puesta en escena,relacionado con Dios,poca vision,de alta definición ,es la imagen de paternidad,Amplio,mango para accionar ciertas maquinas,Variedad en la fauna ,Antigüedad ,casa,procedicmiento,ruidosas las que son de fuego,esta en el espacio ,pueden ser rurales o estar en una ciudad ,Idea,uniforme,Balanceo,malestar,pilotos,retroceso ,acumulo,rebota,desorden,es ilegal hacer esto con las firmas,hijos,coherente,vida,peligro,duro,suelta,respirar,Verguenza,inexperiencia,miedo,sistematico,correcto,ataud,aspecto,curioso,pasado,amigos
10933,Agregar ,vigor,abeja,Competencia,Dedicado,sugerencia,cepillo de dientes,Canas,fuerza,contorno,puntero,identidad,Valor,llanto,peso,Símbolo patrio,Negocio de moda,estomago,cientifico,arte,accidente,vestimenta,compartir,Auxilio,Responsable,Escalera de caracol,luz,choclo,plumas,miedo,Preparar,alta costura,comida extraña,a veces se puede comer,postre,sin respeto,importante,delicadeza,personal,cautivar,personas,personas de relación cercana,puede ser por asco,locura,historia ,puede ser mentido,escapar,formas,puede ser sicológica,atun,trabajo duro ,descontrol,Infinidad de galaxias en el universo,cine,individual,descanso,crecimiento,Problematicos,signo,Fisica ,idea,acceso a un lugar,no hay información,malestar,transito,tomar,santiago,Mentalmente sano,pena,algo que no fue,Mentoría,ser responsable,aprovechar,jefe ,Cachete,curar,atomicos,educacion,lider,armar escenario,relativo a la misticismo,accidentes,claridad,es un lazo directo,Importante,Utilizadas en las competiciones de saltos ,Mitos y leyendas,lugar,espacio delimitado,dominio de técnicas,arma,tiene forma de esfera ,pueden ser rurales o estar en una ciudad ,Discusión,inmovil,Gravedad,mostrar disconformidad,velocidad,venir devuelta a un lugar ,materia prima,fisica,manifestación ,duplicado,mantención,entiendo,pequeño,necesita ser rescatado,con convicción,flacidez,exhalar ,Sin relaciones sociales,error,respeto,largo,exitoso,nocturno,lo poseen las personas,amigable,vencido,matrimonio
11998,Matematicas ,energia,avispa,Intelecto,Esforzado,conexión,fresco,Muerte,poder hacer algo ,figuras,arreglo floral,ropa,Persona atrevida,reclamo,instrumento de trabajo,Inspiradora,Navaja afilada,panza,medioambiente,Alcoholica,Muerte,camisa,bar,Desamparados,Guía,Espiral,filosofia,invierno,carnivoro,hechizo,Formar,cierre,playa,las de las nueces son duras,almuerzo,sinvergüenza,precision,cariño,felicidad,atracción,movimiento,familia,puede ser por algo traumatico,paso del tiempo,Piedra,posición,miedo,aspectos,alguien malo,selva africana,falta de empatia ,fiesta,Atracción gravitacional hacia andrómeda,bala,componente,reunión,insulina,Estados unidos,signo,Falta de movimiento ,cambio,sitio para discriminar el acceso,que no se sabe,arrepentimiento,calle,tirar,campo,Capacidad de tomar decisiones,humedo,perdida,Enseñanza,pensar antes de actuar,inmoral,presidente ,Esta en la cara,inesperado,Armas de guerra,moral,poderoso,crear,relacionado con lo espiritual,llovizna ,lentes,es personal,Nobleza,barra que se apoya o puede girar ,oscuridad,centro de batalla,chicureo,habilidad,bala,giran alrededor de una estrella ,en chile son parte de comunas ,Conversación ,aburrido,Física,hacer valer una opinión,reaccion,camino devuelta ,cognición,movimiento,volver a volar,en chile generalmente hay muchas,se acaba,comprension,arbol,se pide si uno esta a punto de morir,firmeza,fácil,aspirar profundamente,Falta de habla,problema,impuestos,lento,certeza,terror,puede ser visto como bueno o malo,aperrado,en mal estado,conexion emocional
11999,Aumento,paciencia,abejorro,Juego de mesa,Trabajo,puente,pasta de dientes,abuela,incentivo para aprender,lineas,flores,visual,Astucia,llamar la atención ,peso ,Patria,Maquinas especiales,vientre ,quimica,Drogadiccion,Calavera,vestido,venta de alcohol,Misioneros,Marinero,Lento,verdad,para el frio,huevos,brujos,Surgir,hilo,bikini,se pueden compostar,comida,inadecuado,certero,bondad,alegria,deleite,equipo,hábitat,miedo,bobina,Marmol,situación,cobarde,personalidades,mentir,buena vista,corroe el medio ambiente ,locura,espiral,muerte,arena,compartir,tiroide,Devastadores,accion,Colegio ,Misterio,se relaciona con la economía de un país,Misterio,perdón,auto,recoger,liso,Capacidad de percibir e interpretar la realidad,salado,frustracion,Elección,no ser impulsivo,etico,Orden,Suave,positivo,Posibles fuentes de extinción ,conducta,Rey,inventar,experiencia espiritual,invierno,visible,es familiar,Señorial,mango,alejado,combatir,campo,detective,disparo,algunos tienen satelites naturales ,en chile son parte de regiones ,Debate,asiento con mesa,moviemiento,plasmar en un libro,entrenable,volver,gardar algo para el futuro,amortiguacion,agitación ,muchas veces no se perciben,puede aumentar,sano,furta,expresión que se grita,Partículas ordenadas y pegadas,desenvolverse ,aspirar por un largo tiempo,Antosocial,inteligencia,para el gasto publico,a nadie le gusta hacerlos,moda,chupa sangre,implica apariencias fisicas,en busca de lugares ,añejo,es algo intangible
12000,Mas grande ,resistencia,insecto,Tablero cuadriculado blanco y negro,Obrero,mejoría,hediondo,vejez,psicologia,forma,solucionar,identificacion,Persona con cualidades ,tension,equilibrio,Libertad,Barba grande,tripa,laboratorio,buena vida,Músculos,sueño,vida social,Jesús,Kraken,Caracola,cueva ,comida de abuela,negro,humo,Dedicación,telas,bronceado,se puede hacer té con algunas,rico,a vista de todos,parte de,agradable,sensaciones,seducción,maligna ,ámbito,espanta pajaros,varios circulos,Poder,categoría,evitar responsabilidades,maneras de ser,puede ser física,cazadores,Riqueza,drogado,Estrellas,militar,imperfección de la piel,castigo brujas,componente,Equipo de futbol,idea,Universidad ,Poder,entrega información sobre el poder adquisitivo,Pregunta o duda,apenarse,iluminación,accion,verde,Juventud,sollozo,no poder mas,mujer,no significa crecer en cuanto a edad,maldad,Obligación,Gorda ,poco probable,Inteligencia militar,normas,Autoridad,ilusionar,Surreal,vapor,detallado,es especial,vivenda,punto de apoyo ,silencioso,reunirse,pocas hectareas,capacidad,puntería,planeta tierra,Ocupado,Pre juicios,silla de colegio,fisica,conlleva la mala atención,vision,familia,conservar alimentos,que rebota,impacto,segunda oportunidad,depende del cargo,salud,creacion,uno grita esto cuando tiene miedo,No se puede atravesar,hiperlaxo,falta de aire,Temeroso,mal movimiento,es obligatorio,poco modernos,vigente,drácula,implica opiniones ajenas,sed de conocer,viene del vino,puede haber en una relación con la mascota
12001,Un miembro de la familia mas ,perseverancia,escorpión,Piezas de juego con distintos movimientos,Equipo,elongación,boca,frágil,capacidad,angulo,enmendar,personalidad,Firmeza en argumentos,llorar,contrapeso,Muerte,Masajes faciales,estimado abundante,microscopio,libertad,Putrefacto,pijamada,taberna,Dios,Barcos,Babosa,gruta,tiene liquido,ave blanca,colores,Tierra,aguja,lentes,protege a la fruta,satisfactorio,insolente,fragmento especifico,azucar,resultado de interacciones,agrado,bondadosa,circunstancias,muchas veces se usa para exagerar algo,giran alrededor de un eje,Conmemoración,jerarquía,no pagar,Partes de un todo,desagradable,dormilones,Poder,exaltación ,Amplio,tension,sal,fuego,biologia,Viento fuerte,descubrimiento,Dificil ,Drácula,vinculado al desarrollo profesional,Suspenso,afligirse,direccion,tomar algo,ciudad,rapidez,tristeza,enojo,femenino,una persona de menora edad puede tener mas madurez que otra de mayor edad,intención de provocar perjuicio en otro,Autoridad,Rasposa,esperanzador,Miedo en la población ,acciones,Jefe,ambiente,Algo imaginario,nubes,sin pixeles,implica amor,elite,tirar la alanca,tension,griegos,campo,forense,policía,algunos tienen vida ,Acumulado,Dialéctica,silla de universidad,relog,enojo,reflexion,propiedad,antiguo,se usa en física,perturbación ,repetir,pago,insumo,natural,apoyo a una persona,Estado físico de la materia,agíl,fin,Sin ánimo,torpe,se pagan en las contibuciones,papeleo,actual,chupasangres,Vano,nomada,agrio,relacionado al amor
12002,Alguien nuevo ,sobre los problemas,abeja ,Objetivo matar al rey,construccion,tiempo,estomago,amorosa,capacidad para llegar a un objetivo ,cubo,orden,ocacion,Persona sin miedo,perro ,dos personas en cada esquina,Respeto,Locion especial,vientre abultado,muestras de laboratorio,anarquia,Tieso,bata,establecimiento de comida,Cruz,Frankenstein,Cachitos,profundidad,para enfermos,ave zancuda,cuento,campo,tapiceria,bucear,llena de pesticidas,placentero,osado,parte necesaria,manjar,diferentes entre personas,glamour,espiritu,condiciones que limitan la acción,es un sentimiento,da vueltas,Arte,rango,robar,Distintos tiempos,horrible,gatos,Egoísmo,agitado,Desconocido,ordenes,son circulares,acampar,sustancia,Casas volando,señal,Tedioso,Oculto,Entrega,Oculto,tristeza,prohibicion,subir,comunidad,sanidad mental,felicidad,dilema,amiga,implica un crecimiento como personas,licor agregado al café,Tarea,Blanda,divino,Nunca son buenos,maneras,Realeza,teatro,Increible,poca visibilidad,alta calidad,una persona puede poseer un padrino,dominio,Mangueta,camuflaje,obra de arte,mucho pasto,homicidio,muerte,ecosistema ,Repleto,Argumentación,escritorio,ejemplo,rabia,paralelo,reencuentro,disponible en caso de emergencia,ley de Hooke,conmoción ,intentar,sueldo,higiene,agua,puede pedirse cuando se ve un fantasma,rigido,destreza,tranquilidad,sensacion,romper cosas,permiten financiar proyectos,burocracia,autentico,succionador,Sobre estima,persona con sed de conocer mas,desinfectante,relacion
12003,Un nuevo comienzo,soportar,pinchazo,El movimiento del caballo es en L,ladrillos,distancia de proximidad,digestion,edad avanzada,Habilidad ,interseccion entre dos caras,desorden,presentacion,Cualidad para trabajo,lobo,luz ,pais,pelo,barriga de embarazada,genetica,independecia,Con mal hedor,noche,comedor,dios,marinero,Sol,oscuro,es caliente,ave cuello largo,oscuro,trabajadores,sastreria,chalas,sucia,sentimiento agradable,temerario,Precisión,chocolate,tristesa ,bello,muertos,marco,genera reacciones en el cuerpo,es redondo,El David,condición,dificultad,Puede referirse a personas o situaciones,rasgos inadecuados,pumas,Suerte,pelea,Profundo,tiritar,son pequeños,fogata,celulas,Fenomeno,suposicion,Diagrama de cuerpo libre,Trama,Entrar,Esperar,melancolia,permiso,ascender,derecho,claro,agua,empatia,comadre,puede variar dependiendo las circustancias,inclinación a actuar de mala fé,Hay que hacerlo,Las personas se saludan ahi,dios,Modernidad ,formas,Reina,intervencion,sacado de cuentos,provoca accidentes,definido,no es obligatorio poseer un padrino,elegancia,alzaprima,humedad,antiguo,arboles,investigación,guerra,son fragiles ,Muchas cosas,Razonamiento,mesa,movimiento angular,por una mala experiencia,simetria,poca permanencia ,comida,que salta,impresión ,insistir,dinero,limpieza,tierra,es usual escucharlo en películas de terror,estado físico,bueno para hablar,aceptacion,emocion,problema,ofrenda,obligaciones,valor,batman,Necesidad de reconocimiento,explorador,acido acético,conexion
